000f3e0f000602	62	request.currentStatus.ProfileStatusRequest	ProfileStatusRequest[cargo={}]
000f3f0f0800ffffffffffffff9bed	63	response.currentStatus.ProfileStatusResponse	ProfileStatusResponse[activeSegmentIndex=-1,idpSlot0Id=-1,idpSlot1Id=-1,idpSlot2Id=-1,idpSlot3Id=-1,idpSlot4Id=-1,idpSlot5Id=-1,numberOfProfiles=0,cargo={0,-1,-1,-1,-1,-1,-1,-1}]
0010441000820e	68	request.currentStatus.AlertStatusRequest	AlertStatusRequest[cargo={}]
00104510080000000000000000bda4	69	response.currentStatus.AlertStatusResponse	AlertStatusResponse[cargo={0,0,0,0,0,0,0,0}]
00114a1100b226	74	request.currentStatus.CGMAlertStatusRequest	CGMAlertStatusRequest[cargo={}]
00114b110800000000000000008298	75	response.currentStatus.CGMAlertStatusResponse	CGMAlertStatusResponse[cargo={0,0,0,0,0,0,0,0}]
00124612008006	70	request.currentStatus.AlarmStatusRequest	AlarmStatusRequest[cargo={}]
0012471208000000000000000084da	71	response.currentStatus.AlarmStatusResponse	AlarmStatusResponse[cargo={0,0,0,0,0,0,0,0}]
0013481300b02e	72	request.currentStatus.ReminderStatusRequest	ReminderStatusRequest[cargo={}]
00134913080000000000000000bbe6	73	response.currentStatus.ReminderStatusResponse	ReminderStatusResponse[cargo={0,0,0,0,0,0,0,0}]
00148a1400b0ff	-118	request.currentStatus.BasalLimitSettingsRequest	BasalLimitSettingsRequest[cargo={}]
00148b1408b80b0000b80b0000c6fd	-117	response.currentStatus.BasalLimitSettingsResponse	BasalLimitSettingsResponse[basalLimit=3000,basalLimitDefault=3000,cargo={-72,11,0,0,-72,11,0,0}]
00158c1500217e	-116	request.currentStatus.GlobalMaxBolusSettingsRequest	GlobalMaxBolusSettingsRequest[cargo={}]
00158d150410271027b92f	-115	response.currentStatus.GlobalMaxBolusSettingsResponse	GlobalMaxBolusSettingsResponse[maxBolus=10000,maxBolusDefault=10000,cargo={16,39,16,39}]
00165816002692	88	request.currentStatus.RemindersRequest	RemindersRequest[cargo={}]
00165916690f000000000000000000007800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005a0000000000000000000000000000000000000001004600c800030043f8	89	response.currentStatus.RemindersResponse	RemindersResponse[additionalBolusReminder=RemindersResponse.Reminder[activeDays=0,enabled=1,endTime=0,frequency=0,startTime=0,validityStatus=0],afterBolusReminder=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=90,startTime=0,validityStatus=0],highBGReminder=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=120,startTime=0,validityStatus=0],highBGThreshold=200,lowBGReminder=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=15,startTime=0,validityStatus=0],lowBGThreshold=70,missedBolusReminder0=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=0,startTime=0,validityStatus=0],missedBolusReminder1=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=0,startTime=0,validityStatus=0],missedBolusReminder2=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=0,startTime=0,validityStatus=0],missedBolusReminder3=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=0,startTime=0,validityStatus=0],siteChangeDays=3,siteChangeReminder=RemindersResponse.Reminder[activeDays=0,enabled=0,endTime=0,frequency=0,startTime=0,validityStatus=0],status=0,cargo={15,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,-56,0,3,0}]
001756170016ba	86	request.currentStatus.PumpGlobalsRequest	PumpGlobalsRequest[cargo={}]
001757170e00f401d007000003000000000000b2e7	87	response.currentStatus.PumpGlobalsResponse	PumpGlobalsResponse[alarmAnnun=0,alertAnnun=0,bolusAnnun=0,buttonAnnun=3,fillTubingAnnun=0,quickBolusAnnun=0,quickBolusEnabled=0,quickBolusEntryType=0,quickBolusIncrementCarbs=2000,quickBolusIncrementUnits=500,quickBolusStatus=0,reminderAnnun=0,cargo={0,-12,1,-48,7,0,0,3,0,0,0,0,0,0}]
0018521800e876	82	request.currentStatus.PumpSettingsRequest	PumpSettingsRequest[cargo={}]
00185318091446010c00001e000021eb	83	response.currentStatus.PumpSettingsResponse	PumpSettingsResponse[autoShutdownDuration=12,autoShutdownEnabled=1,cannulaPrimeSize=70,featureLock=0,lowInsulinThreshold=20,oledTimeout=30,status=0,cargo={20,70,1,12,0,0,30,0,0}]
00195a190078ec	90	request.currentStatus.CGMGlucoseAlertSettingsRequest	CGMGlucoseAlertSettingsRequest[cargo={}]
00195b190cc80001000007500001000007a5da	91	response.currentStatus.CGMGlucoseAlertSettingsResponse	CGMGlucoseAlertSettingsResponse[highGlucoseAlertDefaultBitmask=7,highGlucoseAlertEnabled=1,highGlucoseAlertThreshold=200,highGlucoseRepeatDuration=0,lowGlucoseAlertDefaultBitmask=7,lowGlucoseAlertEnabled=1,lowGlucoseAlertThreshold=80,lowGlucoseRepeatDuration=0,cargo={-56,0,1,0,0,7,80,0,1,0,0,7}]
001a5c1a008b0b	92	request.currentStatus.CGMRateAlertSettingsRequest	CGMRateAlertSettingsRequest[cargo={}]
